sequence_no,Alias,Market,Store Type,Second Canister,Canister Serial,Key#,City,State,Zip,Country,Order Serial #,Issue Date
1,BO4074,PHOENIX BO,Big O Tires,,123464,22,Bullhead City,AZ,86442,USA,100072214,5/8/17
2,BO4053A,PHOENIX BO,Big O Tires,,123461,24,Cottonwood,AZ,86326,USA,100072211,5/8/17
3,BO4155A,PHOENIX BO,Big O Tires,,123475,22,Glendale,AZ,85308,USA,100072225,5/8/17
4,BO4155B,PHOENIX BO,Big O Tires,X,123478,26,Glendale,AZ,85308,USA,100072228,5/8/17
5,BO4018A,TUCSON BO,Big O Tires,,123458,26,Green Valley,AZ,85614,USA,100072208,5/8/17
6,BO4058,PHOENIX BO,Big O Tires,,123462,26,Kingman,AZ,86401,USA,100072212,5/8/17
7,BO4066,PHOENIX BO,Big O Tires,,123463,27,Lake Havasu City,AZ,86403,USA,100072213,5/9/17
8,BO4149,PHOENIX BO,Big O Tires,,123474,25,Mesa,AZ,85205,USA,100072224,5/9/17
9,BO4156,PHOENIX BO,Big O Tires,,123476,24,Mesa,AZ,85209,USA,100072226,5/9/17
10,BO4160,PHOENIX BO,Big O Tires,,123477,25,Payson,AZ,85541,USA,100072227,5/9/17
11,BO4138,PHOENIX BO,Big O Tires,,123472,27,Scottsdale,AZ,85251,USA,100072222,5/9/17
12,BO4091,PHOENIX BO,Big O Tires,,123468,23,Sedona,AZ,86336,USA,100072218,5/9/17
13,BO4104,PHOENIX BO,Big O Tires,,123469,22,Show Low,AZ,85901,USA,100072219,5/9/17
14,BO4146,TUCSON BO,Big O Tires,,123473,24,Sierra Vista,AZ,85635,USA,100072223,5/9/17
15,BO4076,PHOENIX BO,Big O Tires,,123465,23,Sun City,AZ,85373,USA,100072215,5/9/17
16,BO4083,PHOENIX BO,Big O Tires,,123466,24,Tempe,AZ,85282,USA,100072216,5/10/17
17,BO4036A,TUCSON BO,Big O Tires,,123459,25,Tucson,AZ,85711,USA,100072209,5/10/17
18,BO4039A,TUCSON BO,Big O Tires,,123460,23,Tucson,AZ,85712,USA,100072210,5/10/17
19,BO4084,TUCSON BO,Big O Tires,,123467,25,Tucson,AZ,85741,USA,100072217,5/10/17
20,BO4120,TUCSON BO,Big O Tires,,123471,26,Tucson,AZ,85746,USA,100072221,5/10/17
21,BO4006A,PHOENIX BO,Big O Tires,,123456,24,Yuma,AZ,85365,USA,100072207,5/10/17
22,BO4006B,PHOENIX BO,Big O Tires,X,123457,25,Yuma,AZ,85365,USA,100072206,5/10/17
23,BO4106,PHOENIX BO,Big O Tires,,123470,25,Yuma,AZ,85365,USA,100072220,5/10/17
